FuzzAttemptNr,TimeStamp,ErrorCode,OutputMessage,Count
1,08-06-2023 07:28,10,No columns,4
1,08-06-2023 07:28,10,No lines,3
1,08-06-2023 07:28,10,Unknown character,93
2,08-06-2023 07:29,10,No columns,2
2,08-06-2023 07:29,10,No lines,8
2,08-06-2023 07:29,10,Unknown character,90
3,08-06-2023 07:29,10,No columns,3
3,08-06-2023 07:29,10,No lines,4
3,08-06-2023 07:29,10,Unknown character,93
4,08-06-2023 07:30,10,Error reading file by readAllLines,48
4,08-06-2023 07:30,10,No columns,3
4,08-06-2023 07:30,10,Unknown character,49
5,08-06-2023 07:32,10,Error reading file by readAllLines,60
5,08-06-2023 07:32,10,No columns,3
5,08-06-2023 07:32,10,No lines,1
5,08-06-2023 07:32,10,Unknown character,36
6,08-06-2023 07:36,10,Error reading file by readAllLines,47
6,08-06-2023 07:36,10,No columns,4
6,08-06-2023 07:36,10,No lines,1
6,08-06-2023 07:36,10,Unknown character,48
7,08-06-2023 07:41,10,Error reading file by readAllLines,50
7,08-06-2023 07:41,10,No columns,3
7,08-06-2023 07:41,10,No lines,1
7,08-06-2023 07:41,10,Unknown character,46
8,08-06-2023 07:42,10,Error reading file by readAllLines,47
8,08-06-2023 07:42,10,No columns,3
8,08-06-2023 07:42,10,No lines,4
8,08-06-2023 07:42,10,Unknown character,46
9,08-06-2023 07:42,10,Error reading file by readAllLines,45
9,08-06-2023 07:42,10,No columns,4
9,08-06-2023 07:42,10,No lines,4
9,08-06-2023 07:42,10,Unknown character,47
10,08-06-2023 07:45,10,Error reading file by readAllLines,52
10,08-06-2023 07:45,10,No columns,1
10,08-06-2023 07:45,10,No lines,5
10,08-06-2023 07:45,10,Unknown character,42
11,08-06-2023 08:10,10,Error reading file by readAllLines,43
11,08-06-2023 08:10,10,No columns,3
11,08-06-2023 08:10,10,No lines,5
11,08-06-2023 08:10,10,Unknown character,49
