Fuzz Attempt Nr.,Date and Time,Exit Code,Output Messages,Count
1,22-06-2023 01:43,10,Unknown character,10
2,22-06-2023 01:47,10,Unknown character,10
3,22-06-2023 01:57,10,Unknown character,10
4,22-06-2023 01:59,10,Unknown character,10
5,22-06-2023 03:39,10,Unknown character,10
6,22-06-2023 03:40,10,Unknown character,10
7,22-06-2023 03:46,10,Unknown character,10
8,22-06-2023 03:47,10,Unknown character,10
9,22-06-2023 03:47,10,Unknown character,10
10,22-06-2023 03:49,10,Unknown character,10
11,22-06-2023 03:50,10,Unknown character,10
12,22-06-2023 03:51,10,Unknown character,10
13,22-06-2023 03:53,10,Unknown character,10
14,22-06-2023 03:56,10,Unknown character,10
15,22-06-2023 03:58,10,Unknown character,10
16,22-06-2023 03:58,10,Unknown character,10
17,22-06-2023 04:01,10,Unknown character,10
18,22-06-2023 04:03,10,Unknown character,10
19,22-06-2023 04:04,10,Unknown character,10
20,22-06-2023 04:04,10,Unknown character,10
21,22-06-2023 04:06,10,Unknown character,10
22,22-06-2023 04:09,10,Unknown character,10
23,22-06-2023 04:11,10,Unknown character,10
24,22-06-2023 04:12,10,Unknown character,10
25,22-06-2023 04:16,10,Unknown character,10
26,22-06-2023 04:19,10,Unknown character,10
