Fuzz Attempt Nr.,Date and Time,Execution Time,Exit Code 0,Exit Code 1,Exit Code 10,Exit Code Other
1,22-06-2023 01:43,00:00,0,0,1,0
2,22-06-2023 01:47,00:01,0,0,1,0
3,22-06-2023 01:57,00:01,0,0,1,0
4,22-06-2023 01:59,00:01,0,0,1,0
5,22-06-2023 03:39,00:01,0,0,1,0
6,22-06-2023 03:40,00:00,0,0,1,0
7,22-06-2023 03:46,00:01,0,0,1,0
8,22-06-2023 03:47,00:01,0,0,1,0
9,22-06-2023 03:47,00:01,0,0,1,0
10,22-06-2023 03:49,00:00,0,0,1,0
11,22-06-2023 03:50,00:01,0,0,1,0
12,22-06-2023 03:51,00:01,0,0,1,0
13,22-06-2023 03:53,00:01,0,0,1,0
14,22-06-2023 03:56,00:01,0,0,1,0
15,22-06-2023 03:58,00:01,0,0,1,0
16,22-06-2023 03:58,00:01,0,0,1,0
17,22-06-2023 04:01,00:01,0,0,1,0
18,22-06-2023 04:03,00:02,0,0,1,0
19,22-06-2023 04:04,00:01,0,0,1,0
20,22-06-2023 04:04,00:01,0,0,1,0
21,22-06-2023 04:06,00:01,0,0,1,0
22,22-06-2023 04:09,00:01,0,0,1,0
23,22-06-2023 04:11,00:01,0,0,1,0
24,22-06-2023 04:12,00:01,0,0,1,0
25,22-06-2023 04:16,00:01,0,0,1,0
26,22-06-2023 04:19,00:01,0,0,1,0
